idx,lat,lon
466,51.5110922,-0.0856397
467,51.5168715,-0.1080193
468,51.5114902,-0.1041807
469,51.5124758,-0.0952324
470,51.5131542,-0.1041907
471,51.5100522,-0.092508
472,51.5106737,-0.0922316
473,51.5095372,-0.0864561
474,51.5112708,-0.1045229
475,51.5134009,-0.0897462
476,51.5133597,-0.0881346
477,51.5175657,-0.0830228
478,51.512695,-0.0924995
479,51.5126261,-0.0924861
480,51.5131124,-0.0905756
481,51.5168111,-0.0856937
482,51.517442,-0.1077932
483,51.5110584,-0.1023485
484,51.5215842,-0.097286
485,51.5219687,-0.0974059
486,51.5154693,-0.0880837
487,51.5212284,-0.0957506
488,51.5164896,-0.081311
489,51.5169394,-0.0930666
490,51.5167642,-0.094105
491,51.5169692,-0.0939822
492,51.5165439,-0.0942186
493,51.5162438,-0.0802468
494,51.5108998,-0.0867963
495,51.5108368,-0.086565
496,51.5175072,-0.101342
497,51.511004,-0.1028546
498,51.5125397,-0.1058036
499,51.5125379,-0.1049992
500,51.5113807,-0.0752268
501,51.5097256,-0.0806363
502,51.509827,-0.0809954
503,51.5121561,-0.0990446
504,51.5166518,-0.0811869
505,51.5175435,-0.0803941
506,51.512026,-0.0979503
507,51.5170742,-0.0867682
508,51.5171182,-0.0875907
509,51.5167075,-0.0853831
510,51.5149438,-0.0748954
511,51.5115565,-0.1041616
512,51.5114654,-0.1045317
513,51.5170008,-0.1041485
514,51.5110729,-0.1021949
515,51.5111897,-0.0957728
516,51.5148809,-0.076302
517,51.5113266,-0.1079919
518,51.5160833,-0.0816407
519,51.5161575,-0.0815592
520,51.5110437,-0.1075379
521,51.5135728,-0.0767134
522,51.5159826,-0.1047621
523,51.512519,-0.104484
524,51.5151676,-0.1010361
525,51.5147748,-0.1007949
526,51.5147755,-0.1007126
527,51.5127022,-0.101343
528,51.5084365,-0.1043971
529,51.5176812,-0.1050889
530,51.514187,-0.1059977
531,51.5140751,-0.1030085
532,51.5141319,-0.1033335
533,51.512105,-0.1012483
534,51.5121778,-0.1019419
535,51.5137331,-0.1032959
536,51.5129644,-0.1037454
537,51.5120464,-0.1051249
538,51.5136665,-0.0759687
539,51.5137593,-0.0761058
540,51.5137904,-0.0760125
541,51.5110914,-0.0751238
542,51.5119905,-0.0946592
543,51.5120639,-0.095345
544,51.5114635,-0.096567
545,51.514015,-0.1099737
546,51.5138413,-0.1109569
547,51.5147711,-0.0824996
548,51.5172183,-0.0929341
549,51.5146243,-0.09542
550,51.5109689,-0.0868309
551,51.5108992,-0.0865475
552,51.5120235,-0.0757659
553,51.5110368,-0.0872455
554,51.5118873,-0.1041143
555,51.5121077,-0.1041544
556,51.5125214,-0.104188
557,51.5118265,-0.1041179
558,51.5115216,-0.0861667
559,51.5176946,-0.1077312
560,51.5176849,-0.1075527
561,51.5177822,-0.1074464
